time/total_timesteps,eval/mean_reward,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,train/ent_coef,train/critic_loss,rollout/ep_len_mean,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed
37000,-109.43703479999999,36899,-1.4742237329483032,0.0001965450924118268,-1.5582430362701416,1047.8,0.022276844829320908,1.6404629945755005,,,,,
38000,-125.9597996,37899,1.5380939245224,0.0001965450924118268,-0.42752397060394287,1325.0,0.019948644563555717,1.5627472400665283,,,,,
39000,-105.55340240000001,38899,-0.4395504295825958,0.0001965450924118268,0.2934618592262268,1297.0,0.019006649032235146,1.2940272092819214,,,,,
40000,-92.6564194,39899,-0.9820681810379028,0.0001965450924118268,-1.5050965547561646,1600.0,0.0187141764909029,1.0613237619400024,,,,,
40994,,40893,-0.5183954834938049,0.0001965450924118268,-1.525066614151001,,0.01883758045732975,1.658637285232544,427.0208333333333,59,96,-115.32787522916668,689
41000,-111.0602016,40899,-0.2769700288772583,0.0001965450924118268,-1.5308808088302612,97.0,0.01882820576429367,0.9929745197296143,,,,,
41463,,41362,0.82129967212677,0.0001965450924118268,-2.9225351810455322,,0.020054077729582787,1.0301752090454102,414.63,59,100,-115.58263054999999,695
42000,-102.58442639999998,41899,-0.7418515086174011,0.0001965450924118268,0.6570165157318115,473.0,0.021062888205051422,1.8492496013641357,,,,,
42929,,42828,0.11063161492347717,0.0001965450924118268,2.397791624069214,,0.02012118138372898,1.616679072380066,412.44,59,104,-115.37289685000002,716
43000,-100.91063299999999,42899,-2.0070443153381348,0.0001965450924118268,2.1384286880493164,1122.6,0.020144715905189514,2.2221052646636963,,,,,
44000,-134.8824794,43899,1.0192584991455078,0.0001965450924118268,5.597458362579346,1600.0,0.020480792969465256,1.369244933128357,,,,,
45000,-103.106013,44899,-0.7124807834625244,0.0001965450924118268,4.947832107543945,1600.0,0.018751394003629684,1.6325860023498535,,,,,
46000,-74.178341,45899,1.6072278022766113,0.0001965450924118268,6.227355003356934,1600.0,0.016478244215250015,1.468505620956421,,,,,
47000,-72.0711448,46899,-1.0195932388305664,0.0001965450924118268,5.977089881896973,1600.0,0.015547327697277069,1.0056118965148926,,,,,
48000,-55.3486956,47899,-0.3392176330089569,0.0001965450924118268,4.334542274475098,1600.0,0.015614490956068039,1.3317828178405762,,,,,
49000,-87.7665538,48899,-1.9498283863067627,0.0001965450924118268,4.146193504333496,1600.0,0.016506601125001907,1.243787169456482,,,,,
49329,,49228,-0.6143637299537659,0.0001965450924118268,3.854844093322754,,0.01592772826552391,0.8975880146026611,473.99,57,108,-114.3640424,861
50000,-105.365769,49899,0.4546000361442566,0.0001965450924118268,5.018683910369873,1600.0,0.01582096889615059,0.8667393326759338,,,,,
51000,-99.93432019999999,50899,0.0888301432132721,0.0001965450924118268,4.374335289001465,1600.0,0.015367865562438965,0.9832313656806946,,,,,
52000,-51.6975998,51899,-0.5434662103652954,0.0001965450924118268,4.635001182556152,1600.0,0.014484926126897335,0.9681679010391235,,,,,
53000,-110.11348860000001,52899,-0.6876339912414551,0.0001965450924118268,4.301714897155762,687.2,0.01381501741707325,0.8281422257423401,,,,,
54000,-63.61277319999999,53899,-0.830241322517395,0.0001965450924118268,6.397616386413574,1600.0,0.01241325493901968,0.8615305423736572,,,,,
54493,,54392,-0.4414116144180298,0.0001965450924118268,6.72367000579834,,0.011781912297010422,0.9656251668930054,521.84,56,112,-113.55421684000001,971
55000,-44.793777999999996,54899,-0.22268784046173096,0.0001965450924118268,6.703282833099365,1600.0,0.01154504157602787,0.6577754020690918,,,,,
56000,-118.89436880000001,55899,0.3332537114620209,0.0001965450924118268,6.726977348327637,749.4,0.011438032612204552,0.5830016732215881,,,,,
57000,-103.363752,56899,-0.7777258157730103,0.0001965450924118268,6.920594215393066,455.8,0.010762163437902927,0.9650036096572876,,,,,
57024,,56923,-0.678281307220459,0.0001965450924118268,7.387420654296875,,0.010732321999967098,0.6141126155853271,543.11,55,116,-114.25484272,1021
58000,-100.7942644,57899,0.18977120518684387,0.0001965450924118268,9.336544036865234,435.6,0.01127732265740633,0.8294982314109802,,,,,
59000,-100.6777234,58899,-0.2729482650756836,0.0001965450924118268,9.43380355834961,1326.0,0.011847912333905697,0.959678053855896,,,,,
59209,,59108,1.2128465175628662,0.0001965450924118268,10.289041519165039,,0.01175239309668541,1.0946333408355713,561.34,55,120,-113.84337805999998,1059
60000,-94.9048382,59899,-2.3649706840515137,0.0001965450924118268,8.685938835144043,1600.0,0.011286004446446896,1.1101715564727783,,,,,
61000,-68.42367039999999,60899,-2.2501072883605957,0.0001965450924118268,8.533306121826172,918.4,0.010511649772524834,0.7415705323219299,,,,,
62000,-75.3486288,61899,0.6654489636421204,0.0001965450924118268,9.198160171508789,1313.0,0.00979566015303135,1.3350285291671753,,,,,
63000,-44.2449786,62899,2.655308246612549,0.0001965450924118268,8.932945251464844,1600.0,0.009411243721842766,0.8127412796020508,,,,,
64000,5.8127272,63899,-1.901654839515686,0.0001965450924118268,8.149209022521973,1600.0,0.009225860238075256,0.9917826652526855,,,,,
64195,,64094,-0.40026015043258667,0.0001965450924118268,9.777355194091797,,0.009287310764193535,0.9417370557785034,591.79,55,124,-111.80913686,1165
65000,-73.62720440000001,64899,1.0251858234405518,0.0001965450924118268,8.435508728027344,1299.2,0.00898918230086565,0.8043738603591919,,,,,
66000,-85.599121,65899,0.1836303472518921,0.0001965450924118268,10.475370407104492,1009.2,0.008497900329530239,0.4846123158931732,,,,,
67000,-86.0755052,66899,1.1452627182006836,0.0001965450924118268,10.136771202087402,1600.0,0.008379423059523106,0.49945521354675293,,,,,
68000,-88.8419898,67899,-0.022695600986480713,0.0001965450924118268,9.510871887207031,1085.6,0.00828488077968359,0.4960837960243225,,,,,
69000,-88.4770822,68899,1.989689588546753,0.0001965450924118268,10.052335739135742,806.6,0.00843182485550642,0.5717940330505371,,,,,
70000,-90.1123906,69899,-0.3839402496814728,0.0001965450924118268,9.251277923583984,1600.0,0.008687694557011127,0.3985644280910492,,,,,
70520,,70419,-0.9384061098098755,0.0001965450924118268,8.540549278259277,,0.008930633775889874,0.4117576479911804,601.66,54,128,-108.81410151,1293
71000,-131.24772080000002,70899,-1.803537130355835,0.0001965450924118268,7.947763442993164,1118.2,0.009186562150716782,0.6606300473213196,,,,,
72000,-93.6228636,71899,-1.3567218780517578,0.0001965450924118268,7.369934558868408,1600.0,0.010247061029076576,0.5293278694152832,,,,,
72747,,72646,1.7062346935272217,0.0001965450924118268,7.408658027648926,,0.01051928661763668,0.4353867769241333,619.2,54,132,-108.10779645000001,1337
73000,-85.61603640000001,72899,-1.1970294713974,0.0001965450924118268,7.426690101623535,266.0,0.010624573566019535,0.5487109422683716,,,,,
73760,,73659,0.9437355995178223,0.0001965450924118268,8.836565971374512,,0.010678029619157314,0.8284398317337036,624.57,54,136,-107.31616752,1353
74000,-36.6923122,73899,0.48952406644821167,0.0001965450924118268,8.746320724487305,1058.8,0.010773889720439911,0.7393768429756165,,,,,
75000,-73.8801268,74899,-0.7133148908615112,0.0001965450924118268,8.844305038452148,1600.0,0.010166111402213573,1.2933512926101685,,,,,
76000,-53.9897826,75899,-0.33089351654052734,0.0001965450924118268,8.907102584838867,1600.0,0.008936073631048203,0.9075769186019897,,,,,
77000,-57.55486659999999,76899,-1.0053428411483765,0.0001965450924118268,8.88012981414795,1600.0,0.008711372502148151,0.8833786249160767,,,,,
77713,,77612,0.41635364294052124,0.0001965450924118268,8.584184646606445,,0.008512390777468681,0.8818516731262207,661.66,54,140,-105.21777423999997,1438
78000,-57.4976934,77899,2.2007594108581543,0.0001965450924118268,10.755958557128906,1426.0,0.00857706367969513,1.2435834407806396,,,,,
79000,-128.861377,78899,0.29625844955444336,0.0001965450924118268,9.02502727508545,148.8,0.008410975337028503,1.19278085231781,,,,,
79865,,79764,0.8608965873718262,0.0001965450924118268,8.738828659057617,,0.008270284160971642,0.7445452213287354,680.19,54,144,-106.00618216999999,1476
80000,-107.64689080000001,79899,-0.26838308572769165,0.0001965450924118268,8.135080337524414,437.8,0.008135809563100338,1.0910758972167969,,,,,
81000,-80.31575240000001,80899,0.12273681163787842,0.0001965450924118268,7.757893085479736,1404.4,0.007390482351183891,0.6314727663993835,,,,,
